"title";"reference";"requirements";"hours";"tasks";"activities";"location";"salary";"type";"period";"link"
"2";"Controller Financiero/a";"51381";"Datos de interés, Grado de Administración de Empresas, Microsoft Excel";;"* Cuentas a cobrar: emisión y seguimiento de facturas.* Elaboración y seguimiento de presupuestos. * Control de desviaciones y de previsiones de gastos.* Definir indicadores financieros claves.* Realizar informes financieros* Definir reglas contables* Mejora de procesos contables";"";"Palma";"18.000";"Oferta laboral";"18/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51381.html?locale=es"
"298";"Consultor/a en energía";"51378";"Datos de interés, Ingeniería industrial, Grado de Ingeniería Electrónica Industrial y Automática, Ingeniería en telecomunicación, Grado de Física, Licenciatura en física, Ingeniería electrónica, Grado de Ingeniería Electrónica Industrial, Robótica y Mecatrónica, Doble titulación: grado de matemáticas y ingeniería telemática, Grado de Ingeniería Telemática";;"Puesto de trabajo en proyecto Redes Inteligentes en control y seguimiento de proyectos nacionales e internacionales ligados a coches eléctricos y otros ámbitos de Smart Cities.";"Consultoria y proyectos TIC";"Palma";"1.500";"Oferta laboral";"03/07/2019 - 31/12/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51378.html?locale=es"
"3";"Técnico/a Superior Riesgos Laborales";"51375";"Datos de interés, Grado de Ingeniería de Edificación, Arquitectura técnica, Salud Laboral, Salud Laboral. Ergonomía y Psicosociología Aplicada, Salud Laboral. Higiene Industrial, Salud Laboral. Seguridad en el Trabajo, Máster Universitario en Salud Laboral (Prevención de Riesgos Laborales), Inglés, Técnico/a superior en prevención de riesgos laborales, Microsoft Excel, Microsoft Word";;"Sectores construcción, hostelería y comercio, otros.";"Servei de prevenció";"Palma";"21000";"Oferta laboral";"25/02/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51375.html?locale=es"
"4";"Asistente marketing turístico";"51374";"Datos de interés, Alemán, Grado de Turismo";"5";"*Soporte en gestión de contenidos para redes sociales : Facebook, Instagram. *Gestión de reputación online de hoteles y restaurantes en los principales portales turísticos : Holiday Check, Tripadvisor, Google?*Soporte en implantación de contenidos en nueva app desarrollada por la empresa.";"MARKETING ONLINE Y COMUNICACIÓN";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"01/04/2019 - 30/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51374.html?locale=es"
"5";"Técnico/a de apoyo al responsable de PRL";"51372";"Datos de interés, Ingeniería técnica en obras públicas, Grado de Ingeniería de Edificación, Máster Universitario en Salud Laboral (Prevención de Riesgos Laborales)";;"En estos momentos necesitamos incorporar en BALEARES para importante empresa de energía un:TÉCNICO/A DE APOYO AL RESPONSABLE PRLImprescindible ser residente en Baleares.Buscamos Ingenieros/as Técnicos/as, en posesión del máster de Técnico Superior en Prevención de Riesgos Laborales, a ser posible en sus tres especialidades y se valorará que posean el curso de Coordinador de Seguridad y Salud (200h.), ISO 9001, ISO 14001, OSHAS 18001, así como alta capacidad de organización, gestión y planificación.Sus funciones en el lugar de trabajo serán las de apoyo al técnico responsable de Prevención de Riesgos Laborales y Medioambiente en la coordinación de los sistemas de gestión de calidad interno, inspecciones en campo y redacción de informes entre otras funciones.Ofrecemos estabilidad, formación y posibilidad de crecimiento dentro de la compañía. Contrato estable 6M+6M+Indefinido, en jornada parcial de 25-30 horas semanales.";"Servicios de PRL en obras de construcción";"Palma";"A CONVENIR";"Oferta laboral";"29/01/2019 - ";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51372.html?locale=es"
"6";"Asistente Marketing Online";"51371";"Datos de interés, Alemán, Grado de Administración de Empresas";"5";"*Soporte en gestión de contenidos para redes sociales : Facebook, Instagram. *Gestión de reputación online de hoteles y restaurantes en los principales portales turísticos : Holiday Check, Tripadvisor, Google*Soporte en implantación de contenidos en nueva app desarrollada por la empresa.";"MARKETING ONLINE Y COMUNICACIÓN";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"01/04/2019 - 30/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51371.html?locale=es"
"7";"Becari en programació JAVA";"50540";"Datos de interés, Grado de Ingeniería Informática, Grado de Ingeniería Telemática, Máster Universitario en Ingeniería Informática";"5";"Desarrollo en tecnología JAVA-J2EE dentro de la Software Factory de SM2 participando en proyectos punteros.";"Consultoria Informatica y venta de productos relacionados";"Palma";"450";"Prácticas para estudiantes universitarios grado y postgrado";"11/02/2019 - 14/06/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50540.html?locale=es"
"8";"Contable (Asesoría fiscal, laboral y contable Praxis)";"50538";"Datos de interés, Grado de Administración de Empresas, Doble titulación: grado de administración de empresas y grado de derecho, Máster Universitario en Contabilidad y Auditoria";"4";"Mecanitzación de facturas y programa gestión A3Contabilidad básica Atención ClientesAsesoramiento fiscal, contable básico emprendedoresÁmbito Laboral : gestión nóminas";"Assessoria";"Palma";"360";"Prácticas para estudiantes universitarios grado y postgrado";"01/02/2019 - 24/09/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-50538.html?locale=es"
"9";"Responsable de proyectos científicos Scientific Suport Unit Project Manager";"16600";"NA";;;"Investigación";"Barcelona";;;"30/01/2019 - 17/02/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-16600.html?locale=es"
"10";"Márketing online y contenidos";"51367";"Datos de interés, Grado de Marketing, Doble titulación: grado de administración de empresas y grado de derecho, Grado de Ciencias Empresariales, Grado de Economía, Doble titulación: grado de administración de empresas y grado de turismo, Grado de Administración de Empresas, Márqueting Digital y Dirección Comunitaria (Community Management)";;"Márketing online:- Soporte en ejecución en el plan estratégico de la empresa.- Soporte en S.E.O.- Redes sociales.Contenido:-Confección y diseño del catálogo.-Clasificación de productos en categorías de productos.-Redacción de descripciones y características de productos y categorías de productos.Empresa joven y dinámica en continuo crecimiento.";"Tienda online productos para el hogar";"Palma";"900-1200";"Oferta laboral";"04/02/2019 - 05/07/2019";"https://wwws.fueib.es/fueib/doip/cercaOfertes/detallOferta-51367.html?locale=es"
